-9,-15,331,1457
-9,-15,331,1457
-9,-15,331,1457
-16,-20,455,1458
-16,-20,455,1542
-16,-20,455,1543
-7,-29,624,1543
-7,-29,624,1457
-7,-29,624,1457
-7,-29,624,1458
1,-40,824,1457
1,-40,824,1371
1,-40,824,1372
1,-40,824,1371
-1,-53,1034,1371
-1,-53,1034,1543
-1,-53,1034,1543
-4,-68,1239,1543
-4,-68,1239,1543
-4,-68,1239,1543
-4,-68,1239,1543
3,-80,1413,1542
3,-80,1413,1458
3,-80,1413,1457
0,-94,1588,1457
0,-94,1588,1457
0,-94,1588,1457
0,-94,1588,1457
2,-104,1812,1457
2,-104,1812,1543
2,-104,1812,1543
8,-116,2086,1543
8,-116,2086,1543
8,-116,2086,1543
8,-116,2086,1543
0,-139,2276,1542
0,-139,2276,1543
0,-139,2276,1543
2,-157,2292,1543
2,-157,2292,1543
2,-157,2292,1543
2,-157,2292,1543
5,-167,2292,1542
5,-167,2292,1543
5,-167,2292,1543
-3,-181,2292,1543
-3,-181,2292,1629
-3,-181,2292,1628
-15,-181,2292,1629
-15,-192,2292,1714
-15,-192,2292,1714
-15,-192,2292,1715
-4,-199,2292,1714
-4,-199,2292,1628
-4,-199,2292,1629
-8,-205,2292,1629
-8,-205,2292,1628
-8,-205,2292,1629
-17,-210,2292,1628
-17,-210,2292,1715
-17,-210,2292,1714
-10,-216,2292,1714
-10,-216,2292,1714
-10,-216,2292,1715
6,-209,2292,1714
6,-209,2292,1544
6,-209,2292,1542
6,-209,2292,1543
-64,-218,2292,1542
-64,-218,2292,1715
-64,-218,2292,1714
-40,-213,2292,1714
-40,-213,2292,1715
-40,-213,2292,1714
-19,-192,2292,1714
-19,-192,2292,1714
-19,-192,2292,1715
-7,-178,2292,1714
-7,-178,2292,1629
-7,-178,2292,1628
-9,-169,2292,1629
-9,-169,2292,1628
-9,-169,2292,1629
-9,-169,2292,1628
-2,-150,2292,1629
-2,-150,2292,1629
-2,-150,2292,1628
-10,-136,2292,1629
-10,-136,2292,1714
-10,-136,2292,1714
-1,-125,2237,1715
-1,-125,2237,1628
-1,-125,2237,1629
-1,-109,2007,1628
-1,-109,2007,1630
-1,-109,2007,1627
-1,-109,2007,1629
-9,-95,1741,1629
-9,-95,1741,1542
-9,-95,1741,1543
0,-78,1482,1543
0,-78,1482,1457
0,-78,1482,1457
0,-78,1482,1458
-6,-64,1222,1457
-6,-64,1222,1543
-6,-64,1222,1542
-9,-50,977,1543
-9,-50,977,1457
-9,-50,977,1458
-9,-50,977,1457
-12,-36,741,1457
-12,-36,741,1543
-12,-36,741,1543
-12,-28,515,1542
-12,-28,515,1543
-12,-28,515,1543
-12,-28,515,1543
-11,-13,305,1543
-11,-13,305,1543
-11,-13,305,1543
-8,-3,134,1542
-8,-3,134,1372
-8,-3,134,1371
-8,-3,134,1372
-16,4,22,1371
-16,4,22,1287
-16,4,22,1285
-16,4,22,1285
-3,7,-1,1286
-3,7,-1,1200
-3,7,-1,1200
-3,7,-1,1200
-3,7,-1,1200
-3,9,-3,1200
-3,9,-3,1200
-3,9,-3,1200
-3,9,-3,1200
-1,9,-6,1200
-1,9,-6,1200
-1,9,-6,1200
-1,9,-6,1200
0,8,-8,1200
0,8,-8,1114
0,8,-8,1115
0,8,-8,1114
0,8,-8,1114
-2,13,-22,1114
-2,13,-22,1372
-2,13,-22,1371
-2,13,-22,1372
-1,16,-65,1371
-1,16,-65,1372
-1,16,-65,1371
-1,16,-65,1371
-2,18,-134,1373
-2,18,-134,1456
-2,18,-134,1457
-2,18,-134,1457
-1,20,-220,1457
-1,20,-220,1458
-1,20,-220,1457
0,28,-327,1457
0,28,-327,1371
0,28,-327,1372
0,28,-327,1371
-1,38,-455,1372
-1,38,-455,1457
-1,38,-455,1457
-1,38,-455,1457
0,48,-617,1457
0,48,-617,1372
0,48,-617,1371
0,48,-617,1371
-4,57,-801,1373
-4,57,-801,1456
-4,57,-801,1457
-1,57,-986,1457
-1,67,-986,1457
-1,67,-986,1458
-1,67,-986,1457
2,79,-1197,1457
2,79,-1197,1457
2,79,-1197,1457
2,79,-1197,1457
-1,95,-1433,1457
-1,95,-1433,1543
-1,95,-1433,1543
-3,107,-1670,1543
-3,107,-1670,1629
-3,107,-1670,1628
-3,107,-1670,1629
-2,116,-1901,1628
-2,116,-1901,1629
-2,116,-1901,1628
0,127,-2132,1629
0,127,-2132,1543
0,127,-2132,1543
1,139,-2270,1543
1,139,-2270,1542
1,139,-2270,1543
1,139,-2270,1543
-2,150,-2280,1543
-2,150,-2280,1629
-2,150,-2280,1628
-2,161,-2280,1629
-2,161,-2280,1628
-2,161,-2280,1630
0,168,-2280,1627
0,168,-2280,1543
0,168,-2280,1543
0,168,-2280,1543
0,171,-2280,1543
0,171,-2280,1543
0,171,-2280,1543
8,179,-2280,1542
8,179,-2280,1543
8,179,-2280,1543
8,179,-2280,1543
11,193,-2280,1543
11,193,-2280,1628
11,193,-2280,1629
23,204,-2280,1629
23,204,-2280,1628
23,204,-2280,1629
9,201,-2280,1628
9,201,-2280,1543
9,201,-2280,1543
9,201,-2280,1544
-11,185,-2280,1542
-11,185,-2280,1714
-11,185,-2280,1714
2,178,-2280,1715
2,178,-2280,1542
2,178,-2280,1543
11,167,-2280,1543
11,167,-2280,1629
11,167,-2280,1628
11,167,-2280,1629
-1,162,-2280,1628
-1,162,-2280,1629
-1,162,-2280,1629
7,148,-2280,1628
7,148,-2280,1543
7,148,-2280,1543
30,143,-2280,1543
30,143,-2280,1628
30,143,-2280,1629
41,143,-2280,1628
41,135,-2280,1629
41,135,-2280,1629
41,135,-2280,1628
6,147,-2280,1629
6,147,-2280,1543
6,147,-2280,1542
-9,143,-2246,1543
-9,143,-2246,1630
-9,143,-2246,1627
-18,127,-2056,1629
-18,127,-2056,1714
-18,127,-2056,1715
-18,127,-2056,1714
-11,108,-1782,1714
-11,108,-1782,1714
-11,108,-1782,1715
-2,94,-1507,1714
-2,94,-1507,1543
-2,94,-1507,1543
-5,83,-1253,1543
-5,83,-1253,1542
-5,83,-1253,1543
-8,83,-1039,1543
-8,68,-1039,1543
-8,68,-1039,1543
-8,68,-1039,1543
-10,55,-842,1543
-10,55,-842,1542
-10,55,-842,1543
-2,47,-652,1543
-2,47,-652,1457
-2,47,-652,1457
-2,47,-652,1458
-4,36,-460,1457
-4,36,-460,1457
-4,36,-460,1457
-4,36,-460,1457
-1,21,-282,1457
-1,21,-282,1457
-1,21,-282,1458
1,17,-122,1457
1,17,-122,1371
1,17,-122,1372
1,17,-122,1371
7,7,-20,1371
7,7,-20,1200
7,7,-20,1200
7,7,-20,1200
7,7,-20,1200
-2,5,-5,1200
-2,5,-5,1200
-2,5,-5,1200
-2,5,-5,1200
-2,8,0,1200
-2,8,0,1115
-2,8,0,1114
-2,8,0,1114
-2,8,0,1115
-4,6,-3,1114
-4,6,-3,1200
-4,6,-3,1200
-4,6,-3,1200
-3,5,-5,1201
-3,5,-5,1199
-3,5,-5,1200
-3,5,-5,1200
-3,5,-5,1200
-7,6,-6,1201
-7,6,-6,1199
-7,6,-6,1200
-7,6,-6,1200
-5,8,-6,1200
-5,8,-6,1201
-5,8,-6,1199
-5,8,-6,1200
-5,8,-6,1200
-5,9,-6,1200
-5,9,-6,1201
-5,9,-6,1199
-5,9,-6,1200
-7,8,-8,1200
-7,8,-8,1200
-7,8,-8,1201
-7,8,-8,1199
-7,8,-5,1200
-4,11,-5,1200
-4,11,-5,1286
-4,11,-5,1285
-4,11,-5,1286
-6,8,-4,1286
-6,8,-4,1200
-6,8,-4,1200
-6,8,-4,1200
-5,9,-5,1200
-5,9,-5,1200
-5,9,-5,1200
-5,9,-5,1200
-5,9,-1,1200
-4,14,-1,1200
-4,14,-1,1285
-4,14,-1,1286
-4,14,-1,1286
-3,12,0,1286
-3,12,0,1200
-3,12,0,1200
